     2    0.17801E+04    0.70572E-01    0.27455E-01    0.38597E+01
     3    0.15860E+04    0.10931E+00    0.31741E-01    0.39560E+01
     4    0.14807E+04    0.12160E+00    0.31192E-01    0.38247E+01
     5    0.14103E+04    0.10852E+00    0.27402E-01    0.34496E+01
     6    0.13624E+04    0.81745E-01    0.22143E-01    0.29614E+01
     7    0.13309E+04    0.53830E-01    0.16837E-01    0.24491E+01
     8    0.13106E+04    0.32792E-01    0.12350E-01    0.19705E+01
     9    0.12988E+04    0.20579E-01    0.90329E-02    0.15537E+01
    10    0.12936E+04    0.15342E-01    0.69023E-02    0.12273E+01
    11    0.12924E+04    0.13807E-01    0.57857E-02    0.99574E+00
    12    0.12946E+04    0.13353E-01    0.54531E-02    0.86105E+00
    13    0.12991E+04    0.13139E-01    0.56767E-02    0.80170E+00
    14    0.13050E+04    0.12895E-01    0.62505E-02    0.79173E+00
    15    0.13128E+04    0.12956E-01    0.70463E-02    0.81425E+00
    16    0.13230E+04    0.13681E-01    0.79672E-02    0.85468E+00
    17    0.13349E+04    0.14919E-01    0.89639E-02    0.89880E+00
    18    0.13476E+04    0.16406E-01    0.10004E-01    0.93411E+00
    19    0.13605E+04    0.17959E-01    0.11079E-01    0.95458E+00
    20    0.13734E+04    0.19473E-01    0.12184E-01    0.95770E+00
    21    0.13865E+04    0.21077E-01    0.13318E-01    0.94865E+00
    22    0.13999E+04    0.22938E-01    0.14478E-01    0.93347E+00
    23    0.14135E+04    0.25124E-01    0.15663E-01    0.91415E+00
    24    0.14272E+04    0.27663E-01    0.16871E-01    0.89220E+00
    25    0.14410E+04    0.30516E-01    0.18099E-01    0.87146E+00
    26    0.14550E+04    0.33631E-01    0.19342E-01    0.85514E+00
    27    0.14692E+04    0.36966E-01    0.20603E-01    0.84154E+00
    28    0.14836E+04    0.40498E-01    0.21882E-01    0.82771E+00
    29    0.14982E+04    0.44262E-01    0.23178E-01    0.81066E+00
    30    0.15127E+04    0.48291E-01    0.24489E-01    0.78723E+00
    31    0.15272E+04    0.52543E-01    0.25816E-01    0.75370E+00
    32    0.15419E+04    0.56971E-01    0.27155E-01    0.70664E+00
    33    0.15567E+04    0.61575E-01    0.28507E-01    0.64447E+00
    34    0.15717E+04    0.66371E-01    0.29868E-01    0.56703E+00
    35    0.15867E+04    0.71402E-01    0.31236E-01    0.47803E+00
    36    0.16017E+04    0.76707E-01    0.32608E-01    0.38070E+00
    37    0.16167E+04    0.82291E-01    0.33985E-01    0.27248E+00
    38    0.16320E+04    0.88153E-01    0.35366E-01    0.15072E+00
    39    0.16474E+04    0.94305E-01    0.36750E-01    0.18128E-01
    40    0.16629E+04    0.10076E+00    0.38132E-01   -0.12124E+00
    41    0.16785E+04    0.10754E+00    0.39511E-01   -0.26451E+00
    42    0.16940E+04    0.11462E+00    0.40884E-01   -0.41348E+00
    43    0.17097E+04    0.12199E+00    0.42250E-01   -0.57114E+00
    44    0.17254E+04    0.12964E+00    0.43606E-01   -0.74045E+00
    45    0.17413E+04    0.13755E+00    0.44952E-01   -0.92440E+00
    46    0.17572E+04    0.14571E+00    0.46286E-01   -0.11251E+01
    47    0.17733E+04    0.15413E+00    0.47606E-01   -0.13414E+01
